,Question_codes,Questions
37,"['currentEmp13[19]_0', 'currentEmp13[SQ019]_0', 'currentEmp13[20]_1']","[' In which disciplines do you work (select as many as apply) [Criminology]', ' In which disciplines do you work (select as many as apply)? [Criminology]', ' In which disciplines do you work (select as many as apply) [Criminology]']"
38,"['fund2[8]_0', 'fund2[SQ003]_0', 'fund2[6]_1', 'fund2[3]_2']","[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Crowdfunding (one-time)]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Crowdfunding (one-time)]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Crowdfunding (one-time)]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Crowdfunding (one-time)]']"
39,"['fund3[8]_0', 'fund3[SQ003]_0', 'fund3[6]_1', 'fund3[3]_2']","[' Which of the following sources are used to fund your current, largest project? [Crowdfunding (one-time)]', ' Which of the following sources are used to fund your current, largest project? [Crowdfunding (one-time)]', ' Which of the following sources are used to fund your current, largest project? [Crowdfunding (one-time)]', ' Which of the following sources are used to fund your current, largest project? [Crowdfunding (one-time)]']"
40,"['fund4[8]_0', 'fund4[SQ003]_0', 'fund4[6]_1', 'fund4[3]_2']","[' Which of the following sources were used to fund your current, largest project three years ago? [Crowdfunding (one-time)]', ' Which of the following sources were used to fund your current, largest project three years ago? [Crowdfunding (one-time)]', ' Which of the following sources were used to fund your current, largest project three years ago? [Crowdfunding (one-time)]', ' Which of the following sources were used to fund your current, largest project three years ago? [Crowdfunding (one-time)]']"
41,"['fund2[9]_0', 'fund2[SQ004]_0', 'fund2[7]_1', 'fund2[4]_2']","[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Crowdfunding (recurring)]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Crowdfunding (recurring)]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Crowdfunding (recurring)]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Crowdfunding (recurring)]']"
42,"['fund3[9]_0', 'fund3[SQ004]_0', 'fund3[7]_1', 'fund3[4]_2']","[' Which of the following sources are used to fund your current, largest project? [Crowdfunding (recurring)]', ' Which of the following sources are used to fund your current, largest project? [Crowdfunding (recurring)]', ' Which of the following sources are used to fund your current, largest project? [Crowdfunding (recurring)]', ' Which of the following sources are used to fund your current, largest project? [Crowdfunding (recurring)]']"
43,"['fund4[9]_0', 'fund4[SQ004]_0', 'fund4[7]_1', 'fund4[4]_2']","[' Which of the following sources were used to fund your current, largest project three years ago? [Crowdfunding (recurring)]', ' Which of the following sources were used to fund your current, largest project three years ago? [Crowdfunding (recurring)]', ' Which of the following sources were used to fund your current, largest project three years ago? [Crowdfunding (recurring)]', ' Which of the following sources were used to fund your current, largest project three years ago? [Crowdfunding (recurring)]']"
44,['fund2[3]_0'],"[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [DFG, German Research Foundation]']"
45,['fund3[3]_0'],"[' Which of the following sources are used to fund your current, largest project? [DFG, German Research Foundation]']"
46,['fund4[3]_0'],"[' Which of the following sources were used to fund your current, largest project three years ago? [DFG, German Research Foundation]']"
47,"['tool4can[8]_0', 'tool4can[SQ008]_0', 'tool4can[36]_1']","[' What programming languages do you use at work? (Select as many as apply) [Dart]', ' What programming languages do you use at work? (Select as many as apply) [Dart]', ' What programming languages do you use at work? (Select as many as apply) [Dart]']"
48,"['currentEmp13[20]_0', 'currentEmp13[SQ020]_0', 'currentEmp13[21]_1']","[' In which disciplines do you work (select as many as apply) [Dentistry]', ' In which disciplines do you work (select as many as apply)? [Dentistry]', ' In which disciplines do you work (select as many as apply) [Dentistry]']"
49,"['proj4can[2]_0', 'proj4can[SQ002]_0']","[' In general, what sort of testing do you conduct on your software? (check all that apply) [Developers conduct testing]', ' In general, what sort of testing do you conduct on your software? (check all that apply) [Developers conduct testing]']"
50,"['likert1[perfCheck4]_0', 'likertime2[perfCheck4]_0']","[' [Do you receive sufficient information on the purpose of your work?]', ' Please rate the following propositions. There are no right or wrong answers [Do you receive sufficient information on the purpose of your work?]']"
51,"['likert1[perfCheck1]_0', 'likerttime1[perfCheck1]_0']","[' [Do you receive sufficient information on the results of your work?]', ' Please rate the following propositions. There are no right or wrong answers [Do you receive sufficient information on the results of your work?]']"
52,"['likert1[perfCheck7]_0', 'likerttime1[perfCheck7]_0']","[' [Do your colleagues inform you about how well you are doing your work?]', ' Please rate the following propositions. There are no right or wrong answers [Do your colleagues inform you about how well you are doing your work?]']"
53,"['likert1[perfCheck6]_0', 'likertime2[perfCheck6]_0']","[' [Does your supervisor/line manager inform you about how well you are doing your work?]', ' Please rate the following propositions. There are no right or wrong answers [Does your supervisor/line manager inform you about how well you are doing your work?]']"
54,"['fund2[SQ002]_0', 'fund2[5]_1', 'fund2[2]_2']","[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Donation button]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Donation button]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Donation button]']"
55,"['fund3[SQ002]_0', 'fund3[5]_1', 'fund3[2]_2']","[' Which of the following sources are used to fund your current, largest project? [Donation button]', ' Which of the following sources are used to fund your current, largest project? [Donation button]', ' Which of the following sources are used to fund your current, largest project? [Donation button]']"
56,"['fund4[SQ002]_0', 'fund4[5]_1', 'fund4[2]_2']","[' Which of the following sources were used to fund your current, largest project three years ago? [Donation button]', ' Which of the following sources were used to fund your current, largest project three years ago? [Donation button]', ' Which of the following sources were used to fund your current, largest project three years ago? [Donation button]']"
57,"['fund2[13]_0', 'fund2[SQ012]_0', 'fund2[14]_1', 'fund2[12]_2']","[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Dual license]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Dual license]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Dual license]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Dual license]']"
58,"['fund3[13]_0', 'fund3[SQ012]_0', 'fund3[14]_1', 'fund3[12]_2']","[' Which of the following sources are used to fund your current, largest project? [Dual license]', ' Which of the following sources are used to fund your current, largest project? [Dual license]', ' Which of the following sources are used to fund your current, largest project? [Dual license]', ' Which of the following sources are used to fund your current, largest project? [Dual license]']"
59,"['fund4[13]_0', 'fund4[SQ012]_0', 'fund4[14]_1', 'fund4[12]_2']","[' Which of the following sources were used to fund your current, largest project three years ago? [Dual license]', ' Which of the following sources were used to fund your current, largest project three years ago? [Dual license]', ' Which of the following sources were used to fund your current, largest project three years ago? [Dual license]', ' Which of the following sources were used to fund your current, largest project three years ago? [Dual license]']"
60,"['currentEmp13[21]_0', 'currentEmp13[SQ021]_0', 'currentEmp13[22]_1']","[' In which disciplines do you work (select as many as apply) [East & South Asian Studies]', ' In which disciplines do you work (select as many as apply)? [East & South Asian Studies]', ' In which disciplines do you work (select as many as apply) [East & South Asian Studies]']"
61,"['currentEmp13[22]_0', 'currentEmp13[SQ022]_0', 'currentEmp13[23]_1']","[' In which disciplines do you work (select as many as apply) [Economics]', ' In which disciplines do you work (select as many as apply)? [Economics]', ' In which disciplines do you work (select as many as apply) [Economics]']"
62,"['currentEmp13[23]_0', 'currentEmp13[SQ023]_0', 'currentEmp13[24]_1']","[' In which disciplines do you work (select as many as apply) [Education]', ' In which disciplines do you work (select as many as apply)? [Education]', ' In which disciplines do you work (select as many as apply) [Education]']"
63,"['currentEmp13[24]_0', 'currentEmp13[SQ024]_0', 'currentEmp13[25]_1']","[' In which disciplines do you work (select as many as apply) [Electrical & Electronic Engineering]', ' In which disciplines do you work (select as many as apply)? [Electrical & Electronic Engineering]', ' In which disciplines do you work (select as many as apply) [Electrical & Electronic Engineering]']"
64,"['tool4can[9]_0', 'tool4can[SQ009]_0', 'tool4can[32]_1']","[' What programming languages do you use at work? (Select as many as apply) [Elixir]', ' What programming languages do you use at work? (Select as many as apply) [Elixir]', ' What programming languages do you use at work? (Select as many as apply) [Elixir]']"
65,"['currentEmp13[25]_0', 'currentEmp13[SQ025]_0', 'currentEmp13[26]_1']","[' In which disciplines do you work (select as many as apply) [English]', ' In which disciplines do you work (select as many as apply)? [English]', ' In which disciplines do you work (select as many as apply) [English]']"
66,"['tool4can[10]_0', 'tool4can[SQ010]_0', 'tool4can[7]_1']","[' What programming languages do you use at work? (Select as many as apply) [Erlang]', ' What programming languages do you use at work? (Select as many as apply) [Erlang]', ' What programming languages do you use at work? (Select as many as apply) [Erlang]']"
67,['fund2[1]_0'],"[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [European Union (e.g. H2020, COST, EUREKA)]']"
68,['fund3[1]_0'],"[' Which of the following sources are used to fund your current, largest project? [European Union (e.g. H2020, COST, EUREKA)]']"
69,['fund4[1]_0'],"[' Which of the following sources were used to fund your current, largest project three years ago? [European Union (e.g. H2020, COST, EUREKA)]']"
70,"['tool4can[11]_0', 'tool4can[SQ011]_0', 'tool4can[10]_1']","[' What programming languages do you use at work? (Select as many as apply) [F#]', ' What programming languages do you use at work? (Select as many as apply) [F#]', ' What programming languages do you use at work? (Select as many as apply) [F#]']"
71,"['currentEmp13[26]_0', 'currentEmp13[SQ026]_0', 'currentEmp13[27]_1']","[' In which disciplines do you work (select as many as apply) [Fashion]', ' In which disciplines do you work (select as many as apply)? [Fashion]', ' In which disciplines do you work (select as many as apply) [Fashion]']"
72,['fund2[2]_0'],"[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Federal and state governments (BMBF, BMWi, BMVg and other sections)]']"
73,['fund3[2]_0'],"[' Which of the following sources are used to fund your current, largest project? [Federal and state governments (BMBF, BMWi, BMVg and other sections)]']"
74,['fund4[2]_0'],"[' Which of the following sources were used to fund your current, largest project three years ago? [Federal and state governments (BMBF, BMWi, BMVg and other sections)]']"
75,"['currentEmp13[27]_0', 'currentEmp13[SQ027]_0', 'currentEmp13[28]_1']","[' In which disciplines do you work (select as many as apply) [Food Science]', ' In which disciplines do you work (select as many as apply)? [Food Science]', ' In which disciplines do you work (select as many as apply) [Food Science]']"
76,"['tool4can[12]_0', 'tool4can[21]_1']","[' What programming languages do you use at work? (Select as many as apply) [Fortran]', ' What programming languages do you use at work? (Select as many as apply) [Fortran]']"
77,"['fund2[SQ014]_0', 'fund2[16]_1', 'fund2[14]_2']","[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Foundations & consortiums]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Foundations & consortiums]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Foundations & consortiums]']"
78,"['fund3[SQ014]_0', 'fund3[16]_1', 'fund3[14]_2']","[' Which of the following sources are used to fund your current, largest project? [Foundations & consortiums]', ' Which of the following sources are used to fund your current, largest project? [Foundations & consortiums]', ' Which of the following sources are used to fund your current, largest project? [Foundations & consortiums]']"
79,"['fund4[SQ014]_0', 'fund4[16]_1', 'fund4[14]_2']","[' Which of the following sources were used to fund your current, largest project three years ago? [Foundations & consortiums]', ' Which of the following sources were used to fund your current, largest project three years ago? [Foundations & consortiums]', ' Which of the following sources were used to fund your current, largest project three years ago? [Foundations & consortiums]']"
80,['fund2[4]_0'],"[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Foundations and conveyors (public and private, e.g. VolkswagenStiftung, Robert Bosch Stiftung, Klaus Tschira Stiftung, Stiftung Mercator)]']"
81,['fund3[4]_0'],"[' Which of the following sources are used to fund your current, largest project? [Foundations and conveyors (public and private, e.g. VolkswagenStiftung, Robert Bosch Stiftung, Klaus Tschira Stiftung, Stiftung Mercator)]']"
82,['fund4[4]_0'],"[' Which of the following sources were used to fund your current, largest project three years ago? [Foundations and conveyors (public and private, e.g. VolkswagenStiftung, Robert Bosch Stiftung, Klaus Tschira Stiftung, Stiftung Mercator)]']"
83,"['currentEmp13[28]_0', 'currentEmp13[SQ028]_0', 'currentEmp13[29]_1']","[' In which disciplines do you work (select as many as apply) [French]', ' In which disciplines do you work (select as many as apply)? [French]', ' In which disciplines do you work (select as many as apply) [French]']"
84,['fund2[2]_1'],[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Funding by institution]']
85,['fund3[2]_1'],"[' Which of the following sources are used to fund your current, largest project? [Funding by institution]']"
86,['fund4[2]_1'],"[' Which of the following sources were used to fund your current, largest project three years ago? [Funding by institution]']"
87,"['currentEmp13[31]_0', 'currentEmp13[SQ031]_0', 'currentEmp13[32]_1']","[' In which disciplines do you work (select as many as apply) [General Engineering]', ' In which disciplines do you work (select as many as apply)? [General Engineering]', ' In which disciplines do you work (select as many as apply) [General Engineering]']"
88,"['currentEmp13[29]_0', 'currentEmp13[SQ029]_0', 'currentEmp13[30]_1']","[' In which disciplines do you work (select as many as apply) [Geography & Environmental Sciences]', ' In which disciplines do you work (select as many as apply)? [Geography & Environmental Sciences]', ' In which disciplines do you work (select as many as apply) [Geography & Environmental Sciences]']"
89,"['currentEmp13[30]_0', 'currentEmp13[SQ030]_0', 'currentEmp13[31]_1']","[' In which disciplines do you work (select as many as apply) [Geology]', ' In which disciplines do you work (select as many as apply)? [Geology]', ' In which disciplines do you work (select as many as apply) [Geology]']"
90,"['currentEmp13[32]_0', 'currentEmp13[SQ032]_0', 'currentEmp13[33]_1']","[' In which disciplines do you work (select as many as apply) [German]', ' In which disciplines do you work (select as many as apply)? [German]', ' In which disciplines do you work (select as many as apply) [German]']"
91,"['likert2[percEmp4]_0', 'likert4[percEmp4]_0', 'likertagree3[percEmp4]_0']","[' [Given my qualifications and experience, getting a new job would not be very hard at all]', ' [Given my qualifications and experience, getting a new job would not be very hard at all]', ' Please rate the following propositions. There are no right or wrong answers [Given my qualifications and experience, getting a new job would not be very hard at all]']"
92,"['tool4can[13]_0', 'tool4can[SQ012]_0', 'tool4can[29]_1']","[' What programming languages do you use at work? (Select as many as apply) [Go]', ' What programming languages do you use at work? (Select as many as apply) [Go]', ' What programming languages do you use at work? (Select as many as apply) [Go]']"
93,"['fund2[SQ009]_0', 'fund2[3]_1', 'fund2[9]_2']","[' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Grants]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Grants]', ' Which of the following sources are used to pay for your effort as an RSE/equivalent? [Grants]']"
94,"['fund3[SQ009]_0', 'fund3[3]_1', 'fund3[9]_2']","[' Which of the following sources are used to fund your current, largest project? [Grants]', ' Which of the following sources are used to fund your current, largest project? [Grants]', ' Which of the following sources are used to fund your current, largest project? [Grants]']"
95,"['fund4[SQ009]_0', 'fund4[3]_1', 'fund4[9]_2']","[' Which of the following sources were used to fund your current, largest project three years ago? [Grants]', ' Which of the following sources were used to fund your current, largest project three years ago? [Grants]', ' Which of the following sources were used to fund your current, largest project three years ago? [Grants]']"
96,"['tool4can[14]_0', 'tool4can[SQ013]_0', 'tool4can[22]_1']","[' What programming languages do you use at work? (Select as many as apply) [Groovy]', ' What programming languages do you use at work? (Select as many as apply) [Groovy]', ' What programming languages do you use at work? (Select as many as apply) [Groovy]']"
97,"['tool4can[15]_0', 'tool4can[SQ014]_0']","[' What programming languages do you use at work? (Select as many as apply) [Hack]', ' What programming languages do you use at work? (Select as many as apply) [Hack]']"
98,"['tool4can[16]_0', 'tool4can[SQ015]_0', 'tool4can[23]_1']","[' What programming languages do you use at work? (Select as many as apply) [Haskell]', ' What programming languages do you use at work? (Select as many as apply) [Haskell]', ' What programming languages do you use at work? (Select as many as apply) [Haskell]']"
99,"['currentEmp13[33]_0', 'currentEmp13[SQ033]_0', 'currentEmp13[34]_2']","[' In which disciplines do you work (select as many as apply) [History]', ' In which disciplines do you work (select as many as apply)? [History]', ' In which disciplines do you work (select as many as apply) [History]']"
100,"['currentEmp13[34]_0', 'currentEmp13[SQ034]_0', 'currentEmp13[34]_1', 'currentEmp13[35]_1']","[' In which disciplines do you work (select as many as apply) [History of Art, Architecture & Design]', ' In which disciplines do you work (select as many as apply)? [History of Art, Architecture & Design]', ' In which disciplines do you work (select as many as apply) [History of Art, Architecture & Design,]', ' In which disciplines do you work (select as many as apply) [History of Art, Architecture & Design]']"
101,"['currentEmp13[35]_0', 'currentEmp13[SQ035]_0', 'currentEmp13[36]_1']","[' In which disciplines do you work (select as many as apply) [Hospitality, Leisure, Recreation & Tourism]', ' In which disciplines do you work (select as many as apply)? [Hospitality, Leisure, Recreation & Tourism]', ' In which disciplines do you work (select as many as apply) [Hospitality, Leisure, Recreation & Tourism]']"
102,"['likert1[turnOver3]_0', 'likerttime1[turnOver3]_0']","[' [How often do you consider leaving your job?]', ' Please rate the following propositions. There are no right or wrong answers [How often do you consider leaving your job?]']"
103,"['likert3[turnOver4]_0', 'likerttime1[turnOver4]_0']","[' [How often do you dream about getting another job that will better suit your needs?]', ' Please rate the following propositions. There are no right or wrong answers [How often do you dream about getting another job that will better suit your needs?]']"
104,"['likert1[turnOver1]_0', 'likertime2[turnOver1]_0']","[' [How often do you feel frustrated when not given the opportunity to achieve your personal work-related goals?]', ' Please rate the following propositions. There are no right or wrong answers [How often do you feel frustrated when not given the opportunity to achieve your personal work-related goals?]']"
105,"['likert1[turnOver2]_0', 'likert3[turnOver2]_0', 'likertime2[turnOver2]_0']","[' [How often do you look forward to another day at work?]', ' [How often do you look forward to another day at work?]', ' Please rate the following propositions. There are no right or wrong answers [How often do you look forward to another day at work?]']"
106,"['likert2[affRec2]_0', 'likertagree2[affRec2]_0']","[' [I am satisfied with a word of thanks from my supervisor/line manager]', ' Please rate the following propositions. There are no right or wrong answers [I am satisfied with a word of thanks from my supervisor/line manager]']"
107,"['likert2[affRec1]_0', 'likert4[affRec1]_0', 'likertagree3[affRec1]_0']","["" [I am satisfied with my supervisor/line manager's confidence in me]"", "" [I am satisfied with my supervisor/line manager's confidence in me]"", "" Please rate the following propositions. There are no right or wrong answers [I am satisfied with my supervisor/line manager's confidence in me]""]"
108,"['likert2[affRec4]_0', 'likertagree1[affRec4]_0']","[' [I am satisfied with the compliments from my supervisor/line manager concerning my work]', ' Please rate the following propositions. There are no right or wrong answers [I am satisfied with the compliments from my supervisor/line manager concerning my work]']"
